,index,adm1_name,rmse,type,adm1_code
0,2228,Kogi,0.09705743928890194,test,2228
1,65709,Sokoto,0.03329903506574652,test,65709
2,2223,Jigawa,0.023503816362773055,test,2223
3,2217,Cross River,0.07139096499910574,test,2217
4,65706,Ondo,0.09358934199360883,PREDICTION,65706
5,65700,Bayelsa,0.05876434583854382,PREDICTION,65700
6,2235,Oyo,0.09108286358880761,PREDICTION,2235
7,2234,Osun,0.0943096165125475,PREDICTION,2234
8,2222,Imo,0.055977064397894974,PREDICTION,2222
9,2218,Delta,0.0560364438869607,PREDICTION,2218
10,2213,Anambra,0.06173204915345989,PREDICTION,2213
11,65701,Ebonyi,0.093116243185317,PREDICTION,65701
12,65702,Ekiti,0.10367993572867151,PREDICTION,65702
13,2240,Yobe,0.09000938368389808,30DAYS,2240
14,2211,Adamawa,0.09407426751263888,30DAYS,2211
15,2216,Borno,0.11874428327443562,30DAYS,2216
16,65708,Rivers,0.0009547852695365071,train,65708
17,65707,Plateau,0.0008419345415978918,train,65707
18,2232,Ogun,0.002064080228266817,train,2232
19,2231,Niger,0.0009333841868118722,train,2231
20,2230,Lagos,0.0011089258993941852,train,2230
21,2229,Kwara,0.0009988912624447858,train,2229
22,2227,Kebbi,0.0008397619045921728,train,2227
23,65705,Nassarawa,0.001030000989451774,train,65705
24,65710,Zamfara,0.0006378610510096706,train,65710
25,2239,Taraba,0.0009918573357214117,train,2239
26,2226,Katsina,0.0011314652605739755,train,2226
27,2225,Kano,0.0007566173550350666,train,2225
28,2221,Abuja,0.0012366609239986485,train,2221
29,65698,Abia,0.0011776740827202728,train,65698
30,2212,Akwa Ibom,0.0013873724173226526,train,2212
31,2224,Kaduna,0.000839014958935325,train,2224
32,65704,Gombe,0.0009459883841662817,train,65704
33,65699,Bauchi,0.0010553278265280756,train,65699
34,65703,Enugu,0.000847353646523145,train,65703
35,2219,Edo,0.0013401354480257236,train,2219
36,2215,Benue,0.0009055569072945643,train,2215
