,index,adm1_name,rmse,type,adm1_code
0,2229,Kwara,0.031667152871369696,test,2229
1,65710,Zamfara,0.05927070308727585,test,65710
2,2225,Kano,0.060204439070550876,test,2225
3,65703,Enugu,0.018513526755994218,test,65703
4,65706,Ondo,0.08903956784251747,PREDICTION,65706
5,65700,Bayelsa,0.0742610355342454,PREDICTION,65700
6,2235,Oyo,0.06483478689193567,PREDICTION,2235
7,2234,Osun,0.0697020921942035,PREDICTION,2234
8,2222,Imo,0.06437260665179931,PREDICTION,2222
9,2218,Delta,0.06345853717989752,PREDICTION,2218
10,2213,Anambra,0.06728120564063768,PREDICTION,2213
11,65701,Ebonyi,0.10306859448056709,PREDICTION,65701
12,65702,Ekiti,0.08099332672665094,PREDICTION,65702
13,2240,Yobe,0.08493223329924728,30DAYS,2240
14,2211,Adamawa,0.09600740480644501,30DAYS,2211
15,2216,Borno,0.10157549862589145,30DAYS,2216
16,65708,Rivers,0.0030777054409010327,train,65708
17,65707,Plateau,0.0034270080873884503,train,65707
18,2232,Ogun,0.004137362845237208,train,2232
19,2231,Niger,0.0037769637637869637,train,2231
20,2230,Lagos,0.0036066166212269045,train,2230
21,2228,Kogi,0.006470011972573592,train,2228
22,2227,Kebbi,0.0035180423387986123,train,2227
23,65705,Nassarawa,0.004749077631470082,train,65705
24,65709,Sokoto,0.002726116573374583,train,65709
25,2239,Taraba,0.004617397513185961,train,2239
26,2226,Katsina,0.005057331357733619,train,2226
27,2221,Abuja,0.003168999144504623,train,2221
28,65698,Abia,0.003646665353475931,train,65698
29,2212,Akwa Ibom,0.004796283256512807,train,2212
30,2224,Kaduna,0.003972830236919158,train,2224
31,2223,Jigawa,0.003964103932971686,train,2223
32,65704,Gombe,0.003791189337908726,train,65704
33,65699,Bauchi,0.004105760661158896,train,65699
34,2219,Edo,0.004630088259560173,train,2219
35,2217,Cross River,0.005406967657609433,train,2217
36,2215,Benue,0.0034516171238102088,train,2215
