,index,adm1_name,rmse,type,adm1_code
0,2227,Kebbi,0.029253417783756615,test,2227
1,2239,Taraba,0.10568226896139832,test,2239
2,2212,Akwa Ibom,0.03795178604455175,test,2212
3,2215,Benue,0.045761612797447435,test,2215
4,65706,Ondo,0.09129969845806639,PREDICTION,65706
5,65700,Bayelsa,0.07171467362034835,PREDICTION,65700
6,2235,Oyo,0.08685249156024978,PREDICTION,2235
7,2234,Osun,0.09902866068143505,PREDICTION,2234
8,2222,Imo,0.05414296366776282,PREDICTION,2222
9,2218,Delta,0.053945231795122756,PREDICTION,2218
10,2213,Anambra,0.05498880099660058,PREDICTION,2213
11,65701,Ebonyi,0.09909677363805543,PREDICTION,65701
12,65702,Ekiti,0.09661116760055988,PREDICTION,65702
13,2240,Yobe,0.08452843422400803,30DAYS,2240
14,2211,Adamawa,0.08441781747296603,30DAYS,2211
15,2216,Borno,0.11907094795866519,30DAYS,2216
16,65708,Rivers,0.0034158821422941945,train,65708
17,65707,Plateau,0.003854336524909192,train,65707
18,2232,Ogun,0.004797029619981612,train,2232
19,2231,Niger,0.004397915905592565,train,2231
20,2230,Lagos,0.0042900424569111625,train,2230
21,2229,Kwara,0.003964996028643142,train,2229
22,2228,Kogi,0.006682774217186917,train,2228
23,65705,Nassarawa,0.005123958968164677,train,65705
24,65709,Sokoto,0.0029529470464155485,train,65709
25,65710,Zamfara,0.0035550537917604097,train,65710
26,2226,Katsina,0.005919896907709024,train,2226
27,2225,Kano,0.0043526154661984486,train,2225
28,2221,Abuja,0.0033596565789928757,train,2221
29,65698,Abia,0.004328549029506353,train,65698
30,2224,Kaduna,0.0038126069047311685,train,2224
31,2223,Jigawa,0.004886713517361182,train,2223
32,65704,Gombe,0.003928781950661781,train,65704
33,65699,Bauchi,0.004413794701097873,train,65699
34,65703,Enugu,0.003389932849774791,train,65703
35,2219,Edo,0.005544464122352494,train,2219
36,2217,Cross River,0.004991509425369053,train,2217
