,index,adm1_name,rmse,type,adm1_code
0,65708,Rivers,0.05389627518285365,test,65708
1,65707,Plateau,0.03853697128914553,test,65707
2,2231,Niger,0.2004802652850633,test,2231
3,2226,Katsina,0.04340677501932055,test,2226
4,65706,Ondo,0.09514665153007124,PREDICTION,65706
5,65700,Bayelsa,0.06753269334437133,PREDICTION,65700
6,2235,Oyo,0.09705472005481262,PREDICTION,2235
7,2234,Osun,0.10709006132279264,PREDICTION,2234
8,2222,Imo,0.04324438676075872,PREDICTION,2222
9,2218,Delta,0.04770462690652394,PREDICTION,2218
10,2213,Anambra,0.046891137166926986,PREDICTION,2213
11,65701,Ebonyi,0.09897795759639733,PREDICTION,65701
12,65702,Ekiti,0.10982066833775202,PREDICTION,65702
13,2240,Yobe,0.07903719471838073,30DAYS,2240
14,2211,Adamawa,0.09686564968246031,30DAYS,2211
15,2216,Borno,0.12378728943212963,30DAYS,2216
16,2232,Ogun,0.0048499434309565576,train,2232
17,2230,Lagos,0.004043388368084563,train,2230
18,2229,Kwara,0.004396088804959938,train,2229
19,2228,Kogi,0.006429510820909312,train,2228
20,2227,Kebbi,0.00403504910449402,train,2227
21,65705,Nassarawa,0.004682927283021097,train,65705
22,65709,Sokoto,0.0033834641299210592,train,65709
23,65710,Zamfara,0.003334869837862226,train,65710
24,2239,Taraba,0.004678396988467852,train,2239
25,2225,Kano,0.003657377754011022,train,2225
26,2221,Abuja,0.0028487725537793794,train,2221
27,65698,Abia,0.004107752105855905,train,65698
28,2212,Akwa Ibom,0.005323082252751192,train,2212
29,2224,Kaduna,0.003694602239844875,train,2224
30,2223,Jigawa,0.005161406402425595,train,2223
31,65704,Gombe,0.0031420758445239584,train,65704
32,65699,Bauchi,0.004266299164790735,train,65699
33,65703,Enugu,0.0033341732837384925,train,65703
34,2219,Edo,0.005311121093470557,train,2219
35,2217,Cross River,0.004965602662759001,train,2217
36,2215,Benue,0.003625854989247782,train,2215
