region,Easting,Northing,Longitude,Latitude
Agadez,1722361.9337061848,-3323153.480061011,10.523129973762938,19.494389980863577
Diffa,2045791.7010531987,-3712575.0878883917,13.217074555052465,15.86587683009808
Dosso,1001447.7066348705,-4062026.6601788206,3.542856740001413,13.195701407046212
Maradi,1408547.9756553255,-3947228.5169997965,7.3072445145775875,14.112154687379766
Niamey,844646.8760958614,-4028164.9478882877,2.1060504265393947,13.52834035677645
Tahoua,1178087.0977459266,-3770444.7116312794,5.2475524756137055,15.77085293821082
Tillaberi,852645.9974494274,-3954987.7818757957,2.1916183554430124,14.18701717470973
Zinder,1702762.4543970653,-3834044.797680552,10.039600500601788,14.993623038774476
