,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,region,Datetime,Easting,Northing
636,,,32,16.515050000000002,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,16.37509,Agadez,2019-09-29,1722361.9337061848,-3323153.480061011
637,91.3658201784489,132.790036134389,32,16.12022,0.0,19.494389980863577,10.523129973762938,0.1113906,103.07723259193,510554,0.4695414159871006,0.674,0.0,15.98361,Agadez,2019-09-30,1722361.9337061848,-3323153.480061011
638,,,32,16.12022,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.98361,Agadez,2019-10-01,1722361.9337061848,-3323153.480061011
639,,,32,16.12022,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.98361,Agadez,2019-10-02,1722361.9337061848,-3323153.480061011
640,,,32,15.79652,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.66265,Agadez,2019-10-03,1722361.9337061848,-3323153.480061011
641,,,32,19.51838,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.58935,Agadez,2019-10-04,1722361.9337061848,-3323153.480061011
642,,,32,21.09982,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,14.70412,Agadez,2019-10-05,1722361.9337061848,-3323153.480061011
643,,,32,23.1377,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,14.559820000000002,Agadez,2019-10-06,1722361.9337061848,-3323153.480061011
644,,,32,23.99554,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.51339,Agadez,2019-10-07,1722361.9337061848,-3323153.480061011
645,,,32,23.446020000000004,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.158120000000002,Agadez,2019-10-08,1722361.9337061848,-3323153.480061011
646,,,32,23.446020000000004,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.158120000000002,Agadez,2019-10-09,1722361.9337061848,-3323153.480061011
647,96.9628615161524,135.414934977879,32,24.16918,0.0,19.494389980863577,10.523129973762938,0.1103357,103.001871351491,510554,,0.691,0.0,13.99799,Agadez,2019-10-10,1722361.9337061848,-3323153.480061011
648,,,32,25.69074,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,14.44498,Agadez,2019-10-11,1722361.9337061848,-3323153.480061011
649,,,32,28.16092,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,13.174179999999998,Agadez,2019-10-12,1722361.9337061848,-3323153.480061011
650,,,32,28.416960000000003,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,12.88927,Agadez,2019-10-13,1722361.9337061848,-3323153.480061011
651,,,32,28.416960000000003,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,12.88927,Agadez,2019-10-14,1722361.9337061848,-3323153.480061011
652,,,32,28.78657,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,13.33907,Agadez,2019-10-15,1722361.9337061848,-3323153.480061011
653,,,32,28.512899999999995,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,14.420320000000002,Agadez,2019-10-16,1722361.9337061848,-3323153.480061011
654,,,32,29.84603000000001,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.278330000000004,Agadez,2019-10-17,1722361.9337061848,-3323153.480061011
655,,,32,28.82196,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,16.08845,Agadez,2019-10-18,1722361.9337061848,-3323153.480061011
656,,,32,29.891100000000005,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.84679,Agadez,2019-10-19,1722361.9337061848,-3323153.480061011
657,103.236011931664,136.193705442532,32,31.183190000000003,0.0,19.494389980863577,10.523129973762938,0.1095521,103.057449169544,510554,,0.056,0.0,15.55474,Agadez,2019-10-20,1722361.9337061848,-3323153.480061011
658,,,32,31.183190000000003,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.55474,Agadez,2019-10-21,1722361.9337061848,-3323153.480061011
659,,,32,31.183190000000003,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.55474,Agadez,2019-10-22,1722361.9337061848,-3323153.480061011
660,,,32,31.122990000000005,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.57932,Agadez,2019-10-23,1722361.9337061848,-3323153.480061011
661,,,32,31.278140000000004,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.136820000000002,Agadez,2019-10-24,1722361.9337061848,-3323153.480061011
662,,,32,30.49645000000001,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,14.75853,Agadez,2019-10-25,1722361.9337061848,-3323153.480061011
663,,,32,30.452,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,14.417680000000002,Agadez,2019-10-26,1722361.9337061848,-3323153.480061011
664,,,32,30.60695,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.806559999999998,Agadez,2019-10-27,1722361.9337061848,-3323153.480061011
665,,,32,30.60695,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.806559999999998,Agadez,2019-10-28,1722361.9337061848,-3323153.480061011
666,,,32,30.39155,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.755129999999998,Agadez,2019-10-29,1722361.9337061848,-3323153.480061011
667,,,32,30.000000000000004,0.0,19.494389980863577,10.523129973762938,,,510554,,,0.0,15.31722,Agadez,2019-10-30,1722361.9337061848,-3323153.480061011
