,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Bamako,822.0,822.0,0.0,0.0,0.0,3.0,0.0,0.0,822.0,822.0,0.0,883.0,822.0,0.0,0.0,0.0
Kayes,822.0,822.0,0.0,0.0,0.0,3.0,0.0,0.0,822.0,822.0,0.0,883.0,822.0,0.0,0.0,0.0
Koulikoro,822.0,822.0,0.0,0.0,0.0,3.0,0.0,0.0,822.0,822.0,0.0,883.0,822.0,0.0,0.0,0.0
Mopti,822.0,822.0,0.0,0.0,0.0,3.0,0.0,0.0,822.0,822.0,0.0,883.0,822.0,0.0,0.0,0.0
Segou,822.0,822.0,0.0,0.0,0.0,3.0,0.0,0.0,822.0,822.0,0.0,883.0,822.0,0.0,0.0,0.0
Sikasso,822.0,822.0,0.0,0.0,0.0,3.0,0.0,0.0,822.0,822.0,0.0,883.0,822.0,0.0,0.0,0.0
Tombouctou-Taoudeni,822.0,822.0,0.0,0.0,0.0,3.0,0.0,0.0,822.0,822.0,0.0,883.0,822.0,0.0,0.0,0.0
