,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI,region,Datetime,Easting,Northing
242,100.0,115.070217917676,2.3302662822377966,77,35.8548,93.0,36.49147532060025,40.90735361078337,0.1175404,89.4522995176614,1033316,0.015886582912402,0.0,0.0,14.706878043614314,36.7731,Al-Hasakeh,2018-08-31,4329668.814467588,-507892.88679145847
243,,,2.3302662822377966,77,35.8548,93.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,36.7731,Al-Hasakeh,2018-09-01,4329668.814467588,-507892.88679145847
244,,,2.3302662822377966,77,35.5179,63.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,35.1054,Al-Hasakeh,2018-09-02,4329668.814467588,-507892.88679145847
245,,,2.3302662822377966,77,34.9148,73.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.9558,Al-Hasakeh,2018-09-03,4329668.814467588,-507892.88679145847
246,,,2.3302662822377966,77,33.7911,73.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,36.4508,Al-Hasakeh,2018-09-04,4329668.814467588,-507892.88679145847
247,,,2.3302662822377966,77,33.6385,73.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,36.6617,Al-Hasakeh,2018-09-05,4329668.814467588,-507892.88679145847
248,,,2.3302662822377966,77,34.2956,73.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,37.3779,Al-Hasakeh,2018-09-06,4329668.814467588,-507892.88679145847
249,,,2.3302662822377966,77,34.2574,79.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,38.81,Al-Hasakeh,2018-09-07,4329668.814467588,-507892.88679145847
250,,,2.3302662822377966,77,31.0573,94.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,37.0404,Al-Hasakeh,2018-09-08,4329668.814467588,-507892.88679145847
251,,,2.3302662822377966,77,32.197,95.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,37.6894,Al-Hasakeh,2018-09-09,4329668.814467588,-507892.88679145847
252,100.049990002,100.089964014394,2.3302662822377966,77,32.9482,85.0,36.49147532060025,40.90735361078337,0.1177044,89.49895774073629,1033316,,0.0069999999999999,0.0,14.706878043614314,37.9118,Al-Hasakeh,2018-09-10,4329668.814467588,-507892.88679145847
253,,,2.3302662822377966,77,33.472,82.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,41.0378,Al-Hasakeh,2018-09-11,4329668.814467588,-507892.88679145847
254,,,2.3302662822377966,77,33.5717,83.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,39.3723,Al-Hasakeh,2018-09-12,4329668.814467588,-507892.88679145847
255,,,2.3302662822377966,77,34.1812,84.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,38.1558,Al-Hasakeh,2018-09-13,4329668.814467588,-507892.88679145847
256,,,2.3302662822377966,77,31.1784,86.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,38.5144,Al-Hasakeh,2018-09-14,4329668.814467588,-507892.88679145847
257,,,2.3302662822377966,77,30.1834,86.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,38.3097,Al-Hasakeh,2018-09-15,4329668.814467588,-507892.88679145847
258,,,2.3302662822377966,77,29.7008,91.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,33.4134,Al-Hasakeh,2018-09-16,4329668.814467588,-507892.88679145847
259,,,2.3302662822377966,77,29.812,90.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,33.7006,Al-Hasakeh,2018-09-17,4329668.814467588,-507892.88679145847
260,,,2.3302662822377966,77,31.5324,78.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,33.7417,Al-Hasakeh,2018-09-18,4329668.814467588,-507892.88679145847
261,,,2.3302662822377966,77,36.4753,92.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,35.7074,Al-Hasakeh,2018-09-19,4329668.814467588,-507892.88679145847
262,100.069895157264,100.069895157264,2.3302662822377966,77,36.2072,92.0,36.49147532060025,40.90735361078337,0.1167956,89.39456629628759,1033316,,0.015,0.0,14.706878043614314,35.4071,Al-Hasakeh,2018-09-20,4329668.814467588,-507892.88679145847
263,,,2.3302662822377966,77,36.2072,98.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,35.4071,Al-Hasakeh,2018-09-21,4329668.814467588,-507892.88679145847
264,,,2.3302662822377966,77,36.2072,98.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,35.4071,Al-Hasakeh,2018-09-22,4329668.814467588,-507892.88679145847
265,,,2.3302662822377966,77,36.2072,97.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,35.4071,Al-Hasakeh,2018-09-23,4329668.814467588,-507892.88679145847
266,,,2.3302662822377966,77,36.2072,102.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,35.4071,Al-Hasakeh,2018-09-24,4329668.814467588,-507892.88679145847
267,,,2.3302662822377966,77,36.8387,107.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.0544,Al-Hasakeh,2018-09-25,4329668.814467588,-507892.88679145847
268,,,2.3302662822377966,77,36.8387,111.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.0544,Al-Hasakeh,2018-09-26,4329668.814467588,-507892.88679145847
269,,,2.3302662822377966,77,36.8387,111.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.0544,Al-Hasakeh,2018-09-27,4329668.814467588,-507892.88679145847
270,,,2.3302662822377966,77,36.8387,111.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.0544,Al-Hasakeh,2018-09-28,4329668.814467588,-507892.88679145847
271,,,2.3302662822377966,77,36.8387,111.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.0544,Al-Hasakeh,2018-09-29,4329668.814467588,-507892.88679145847
272,99.18889866119422,99.18889866119422,2.3302662822377966,77,36.8387,101.0,36.49147532060025,40.90735361078337,0.1154681,88.76129711961,1033316,0.0161818269978783,0.128,0.0,14.706878043614314,34.0544,Al-Hasakeh,2018-09-30,4329668.814467588,-507892.88679145847
273,,,2.3302662822377966,77,36.4993,99.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,33.6761,Al-Hasakeh,2018-10-01,4329668.814467588,-507892.88679145847
274,,,2.3302662822377966,77,36.3704,97.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,31.5457,Al-Hasakeh,2018-10-02,4329668.814467588,-507892.88679145847
275,,,2.3302662822377966,77,38.257,85.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,32.7672,Al-Hasakeh,2018-10-03,4329668.814467588,-507892.88679145847
276,,,2.3302662822377966,77,38.9805,78.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,32.6087,Al-Hasakeh,2018-10-04,4329668.814467588,-507892.88679145847
277,,,2.3302662822377966,77,39.6493,78.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,33.1681,Al-Hasakeh,2018-10-05,4329668.814467588,-507892.88679145847
278,,,2.3302662822377966,77,42.5086,78.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,33.9306,Al-Hasakeh,2018-10-06,4329668.814467588,-507892.88679145847
279,,,2.3302662822377966,77,42.6713,78.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.4432,Al-Hasakeh,2018-10-07,4329668.814467588,-507892.88679145847
280,,,2.3302662822377966,77,42.1869,82.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.0522,Al-Hasakeh,2018-10-08,4329668.814467588,-507892.88679145847
281,,,2.3302662822377966,77,42.1434,68.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.3249,Al-Hasakeh,2018-10-09,4329668.814467588,-507892.88679145847
282,120.348244208072,120.381701631702,2.3302662822377966,77,41.0476,67.0,36.49147532060025,40.90735361078337,0.1145063999999999,88.1332286847766,1033316,,6.376,0.0,14.706878043614314,35.6612,Al-Hasakeh,2018-10-10,4329668.814467588,-507892.88679145847
283,,,2.3302662822377966,77,40.5991,67.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.8837,Al-Hasakeh,2018-10-11,4329668.814467588,-507892.88679145847
284,,,2.3302662822377966,77,41.8174,68.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,31.1935,Al-Hasakeh,2018-10-12,4329668.814467588,-507892.88679145847
285,,,2.3302662822377966,77,42.8828,68.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,33.6776,Al-Hasakeh,2018-10-13,4329668.814467588,-507892.88679145847
286,,,2.3302662822377966,77,43.687,67.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,33.8454,Al-Hasakeh,2018-10-14,4329668.814467588,-507892.88679145847
287,,,2.3302662822377966,77,42.9126,65.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,32.1844,Al-Hasakeh,2018-10-15,4329668.814467588,-507892.88679145847
288,,,2.3302662822377966,77,42.1135,65.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,34.9642,Al-Hasakeh,2018-10-16,4329668.814467588,-507892.88679145847
289,,,2.3302662822377966,77,41.3769,57.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,39.5225,Al-Hasakeh,2018-10-17,4329668.814467588,-507892.88679145847
290,,,2.3302662822377966,77,41.4867,57.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,39.4408,Al-Hasakeh,2018-10-18,4329668.814467588,-507892.88679145847
291,,,2.3302662822377966,77,40.0844,55.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,40.0844,Al-Hasakeh,2018-10-19,4329668.814467588,-507892.88679145847
292,154.24286759327,154.23693416175,2.3302662822377966,77,35.3119,40.0,36.49147532060025,40.90735361078337,0.1143382,87.9464331106909,1033316,,13.015,0.0,14.706878043614314,40.8079,Al-Hasakeh,2018-10-20,4329668.814467588,-507892.88679145847
293,,,2.3302662822377966,77,33.8876,41.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,38.9267,Al-Hasakeh,2018-10-21,4329668.814467588,-507892.88679145847
294,,,2.3302662822377966,77,36.2319,37.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,40.2709,Al-Hasakeh,2018-10-22,4329668.814467588,-507892.88679145847
295,,,2.3302662822377966,77,35.6225,38.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,39.8739,Al-Hasakeh,2018-10-23,4329668.814467588,-507892.88679145847
296,,,2.3302662822377966,77,35.1301,38.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,39.3227,Al-Hasakeh,2018-10-24,4329668.814467588,-507892.88679145847
297,,,2.3302662822377966,77,36.0813,33.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,41.1528,Al-Hasakeh,2018-10-25,4329668.814467588,-507892.88679145847
298,,,2.3302662822377966,77,36.0813,28.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,41.1528,Al-Hasakeh,2018-10-26,4329668.814467588,-507892.88679145847
299,,,2.3302662822377966,77,32.0056,27.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,42.2513,Al-Hasakeh,2018-10-27,4329668.814467588,-507892.88679145847
300,,,2.3302662822377966,77,33.359,29.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.6839,Al-Hasakeh,2018-10-28,4329668.814467588,-507892.88679145847
301,,,2.3302662822377966,77,33.79,29.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,44.2881,Al-Hasakeh,2018-10-29,4329668.814467588,-507892.88679145847
302,,,2.3302662822377966,77,33.79,30.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,44.2881,Al-Hasakeh,2018-10-30,4329668.814467588,-507892.88679145847
303,210.184571368759,209.00879075240505,2.3302662822377966,77,33.79,30.0,36.49147532060025,40.90735361078337,0.1259866,94.5520951868244,1033316,0.0177225771873938,30.85,0.0,14.706878043614314,44.2881,Al-Hasakeh,2018-10-31,4329668.814467588,-507892.88679145847
304,,,2.3302662822377966,77,34.9326,30.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,46.0865,Al-Hasakeh,2018-11-01,4329668.814467588,-507892.88679145847
305,,,2.3302662822377966,77,34.9366,29.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,49.271,Al-Hasakeh,2018-11-02,4329668.814467588,-507892.88679145847
306,,,2.3302662822377966,77,35.0893,29.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,49.1615,Al-Hasakeh,2018-11-03,4329668.814467588,-507892.88679145847
307,,,2.3302662822377966,77,35.0801,26.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,49.0425,Al-Hasakeh,2018-11-04,4329668.814467588,-507892.88679145847
308,,,2.3302662822377966,77,34.6635,26.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,47.6327,Al-Hasakeh,2018-11-05,4329668.814467588,-507892.88679145847
309,,,2.3302662822377966,77,33.7117,31.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,47.93600000000001,Al-Hasakeh,2018-11-06,4329668.814467588,-507892.88679145847
310,,,2.3302662822377966,77,33.195,31.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,46.5528,Al-Hasakeh,2018-11-07,4329668.814467588,-507892.88679145847
311,,,2.3302662822377966,77,33.556999999999995,21.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,47.2392,Al-Hasakeh,2018-11-08,4329668.814467588,-507892.88679145847
312,,,2.3302662822377966,77,33.9898,18.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,46.9663,Al-Hasakeh,2018-11-09,4329668.814467588,-507892.88679145847
313,212.894936634935,209.179965239374,2.3302662822377966,77,35.6218,18.0,36.49147532060025,40.90735361078337,0.1348822999999999,99.8148740020257,1033316,,19.043,0.0,14.706878043614314,46.9074,Al-Hasakeh,2018-11-10,4329668.814467588,-507892.88679145847
314,,,2.3302662822377966,77,35.8135,18.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,47.0361,Al-Hasakeh,2018-11-11,4329668.814467588,-507892.88679145847
315,,,2.3302662822377966,77,36.2125,17.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,46.5568,Al-Hasakeh,2018-11-12,4329668.814467588,-507892.88679145847
316,,,2.3302662822377966,77,35.5012,18.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,46.0789,Al-Hasakeh,2018-11-13,4329668.814467588,-507892.88679145847
317,,,2.3302662822377966,77,35.0022,18.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,45.4311,Al-Hasakeh,2018-11-14,4329668.814467588,-507892.88679145847
318,,,2.3302662822377966,77,34.7838,18.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,44.5474,Al-Hasakeh,2018-11-15,4329668.814467588,-507892.88679145847
319,,,2.3302662822377966,77,34.7624,18.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.7456,Al-Hasakeh,2018-11-16,4329668.814467588,-507892.88679145847
320,,,2.3302662822377966,77,35.8831,18.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.2889,Al-Hasakeh,2018-11-17,4329668.814467588,-507892.88679145847
321,,,2.3302662822377966,77,35.7143,21.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.2661,Al-Hasakeh,2018-11-18,4329668.814467588,-507892.88679145847
322,,,2.3302662822377966,77,35.7143,23.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.2661,Al-Hasakeh,2018-11-19,4329668.814467588,-507892.88679145847
323,189.602358712101,194.207965626909,2.3302662822377966,77,36.3235,23.0,36.49147532060025,40.90735361078337,0.1505413,108.48866648634,1033316,,12.774,0.0,14.706878043614314,42.979,Al-Hasakeh,2018-11-20,4329668.814467588,-507892.88679145847
324,,,2.3302662822377966,77,37.2835,32.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,44.2912,Al-Hasakeh,2018-11-21,4329668.814467588,-507892.88679145847
325,,,2.3302662822377966,77,35.7738,30.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.5624,Al-Hasakeh,2018-11-22,4329668.814467588,-507892.88679145847
326,,,2.3302662822377966,77,36.2086,29.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.8893,Al-Hasakeh,2018-11-23,4329668.814467588,-507892.88679145847
327,,,2.3302662822377966,77,36.5791,29.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,44.3383,Al-Hasakeh,2018-11-24,4329668.814467588,-507892.88679145847
328,,,2.3302662822377966,77,35.8701,29.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.0267,Al-Hasakeh,2018-11-25,4329668.814467588,-507892.88679145847
329,,,2.3302662822377966,77,35.8701,29.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,43.0267,Al-Hasakeh,2018-11-26,4329668.814467588,-507892.88679145847
330,,,2.3302662822377966,77,39.8333,28.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,42.1593,Al-Hasakeh,2018-11-27,4329668.814467588,-507892.88679145847
331,,,2.3302662822377966,77,38.6691,27.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,40.6675,Al-Hasakeh,2018-11-28,4329668.814467588,-507892.88679145847
332,,,2.3302662822377966,77,38.4055,33.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,39.8626,Al-Hasakeh,2018-11-29,4329668.814467588,-507892.88679145847
333,167.978196233895,199.458264420967,2.3302662822377966,77,38.4055,34.0,36.49147532060025,40.90735361078337,0.210504,137.861616581243,1033316,0.0194633551182514,25.979,0.0,14.706878043614314,39.8626,Al-Hasakeh,2018-11-30,4329668.814467588,-507892.88679145847
334,,,2.3302662822377966,77,39.4737,47.0,36.49147532060025,40.90735361078337,,,1033316,,,0.0,14.706878043614314,40.8183,Al-Hasakeh,2018-12-01,4329668.814467588,-507892.88679145847
