,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,Waterways,rCSI,region,Datetime,Easting,Northing
1281,,,8.956520087755024,15,23.72995780590713,0.0,3.797182888368887,14.22083036504301,,,1108419,,31.0,52.535199090334274,27.49367088607591,East,2021-07-05,2225526.135485637,-5090283.821658097
1282,,,8.956520087755024,15,23.75321336760922,0.0,3.797182888368887,14.22083036504301,,,1108419,,31.0,52.535199090334274,27.31790916880887,East,2021-07-06,2225526.135485637,-5090283.821658097
1283,,,8.956520087755024,15,23.67207514944489,0.0,3.797182888368887,14.22083036504301,,,1108419,,31.0,52.535199090334274,27.22459436379159,East,2021-07-07,2225526.135485637,-5090283.821658097
1284,,,8.956520087755024,15,23.45177664974616,0.0,3.797182888368887,14.22083036504301,,,1108419,,31.0,52.535199090334274,27.30964467005073,East,2021-07-08,2225526.135485637,-5090283.821658097
1285,,,8.956520087755024,15,23.499747856782623,0.0,3.797182888368887,14.22083036504301,,,1108419,,31.0,52.535199090334274,27.58446797781136,East,2021-07-09,2225526.135485637,-5090283.821658097
1286,143.853050784527,119.288790373654,8.956520087755024,15,23.499747856782623,0.0,3.797182888368887,14.22083036504301,0.8420014000000001,100.159525127818,1108419,43.477,31.0,52.535199090334274,27.58446797781136,East,2021-07-10,2225526.135485637,-5090283.821658097
1287,,,8.956520087755024,15,22.77125086385622,0.0,3.797182888368887,14.22083036504301,,,1108419,,30.0,52.535199090334274,28.09260539046299,East,2021-07-11,2225526.135485637,-5090283.821658097
1288,,,8.956520087755024,15,22.81855955678667,0.0,3.797182888368887,14.22083036504301,,,1108419,,29.0,52.535199090334274,27.94321329639885,East,2021-07-12,2225526.135485637,-5090283.821658097
1289,,,8.956520087755024,15,23.054508056222115,0.0,3.797182888368887,14.22083036504301,,,1108419,,28.0,52.535199090334274,27.459718889269773,East,2021-07-13,2225526.135485637,-5090283.821658097
1290,,,8.956520087755024,15,22.938100860178757,0.0,3.797182888368887,14.22083036504301,,,1108419,,27.0,52.535199090334274,27.61005228537693,East,2021-07-14,2225526.135485637,-5090283.821658097
1291,,,8.956520087755024,15,22.260273972602715,0.0,3.797182888368887,14.22083036504301,,,1108419,,26.0,52.535199090334274,28.030821917808183,East,2021-07-15,2225526.135485637,-5090283.821658097
1292,,,8.956520087755024,15,22.248844771521444,0.0,3.797182888368887,14.22083036504301,,,1108419,,25.0,52.535199090334274,28.01642991613893,East,2021-07-16,2225526.135485637,-5090283.821658097
1293,,,8.956520087755024,15,22.3262263823886,0.0,3.797182888368887,14.22083036504301,,,1108419,,24.0,52.535199090334274,28.375801698734584,East,2021-07-17,2225526.135485637,-5090283.821658097
1294,,,8.956520087755024,15,22.181943725185537,0.0,3.797182888368887,14.22083036504301,,,1108419,,23.0,52.535199090334274,28.20645606766784,East,2021-07-18,2225526.135485637,-5090283.821658097
1295,,,8.956520087755024,15,21.731777439539968,0.0,3.797182888368887,14.22083036504301,,,1108419,,22.0,52.535199090334274,27.38034838491456,East,2021-07-19,2225526.135485637,-5090283.821658097
1296,123.060543107286,115.186590367894,8.956520087755024,15,20.808150578483826,0.0,3.797182888368887,14.22083036504301,0.8377828000000002,99.6952710870027,1108419,28.298,21.0,52.535199090334274,26.10948022793988,East,2021-07-20,2225526.135485637,-5090283.821658097
