,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Adamawa,1672.0,1672.0,0.0,0.0,639.0,643.0,0.0,0.0,1673.0,1673.0,0.0,1786.0,1672.0,639.0,0.0,639.0
Borno,1672.0,1672.0,0.0,0.0,639.0,643.0,0.0,0.0,1673.0,1673.0,0.0,1786.0,1672.0,639.0,0.0,639.0
Yobe,1672.0,1672.0,0.0,0.0,639.0,643.0,0.0,0.0,1673.0,1673.0,0.0,1786.0,1672.0,639.0,0.0,639.0
