,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Bamako,1672.0,1672.0,0.0,0.0,914.0,918.0,0.0,0.0,1674.0,1674.0,0.0,1795.0,1672.0,914.0,0.0,914.0
Kayes,1672.0,1672.0,0.0,0.0,914.0,918.0,0.0,0.0,1674.0,1674.0,0.0,1795.0,1672.0,914.0,0.0,914.0
Koulikoro,1672.0,1672.0,0.0,0.0,914.0,918.0,0.0,0.0,1674.0,1674.0,0.0,1795.0,1672.0,914.0,0.0,914.0
Mopti,1672.0,1672.0,0.0,0.0,914.0,918.0,0.0,0.0,1674.0,1674.0,0.0,1795.0,1672.0,914.0,0.0,914.0
Segou,1672.0,1672.0,0.0,0.0,914.0,918.0,0.0,0.0,1674.0,1674.0,0.0,1795.0,1672.0,914.0,0.0,914.0
Sikasso,1672.0,1672.0,0.0,0.0,914.0,918.0,0.0,0.0,1674.0,1674.0,0.0,1795.0,1672.0,914.0,0.0,914.0
Tombouctou-Taoudeni,1672.0,1672.0,0.0,0.0,914.0,918.0,0.0,0.0,1674.0,1674.0,0.0,1795.0,1672.0,914.0,0.0,914.0
