adm1_code,adm1_name,Datetime,fcs,rcsi,data_type,pewi_6,pewi_6_cubic_intp,pewi_8,pewi_8_cubic_intp,rainfall_value,rainfall_value_cubic_intp,rainfall_1_month_anomaly,rainfall_1_month_anomaly_cubic_intp,rainfall_3_months_anomaly,rainfall_3_months_anomaly_cubic_intp,ndvi_value,ndvi_value_cubic_intp,ndvi_anomaly,ndvi_anomaly_cubic_intp,n_conflicts_Battles_anomaly_30days_lagged14days,n_fatalities_Battles_anomaly_30days_lagged14days,n_conflicts_Battles_rolsum_90days,n_fatalities_Battles_rolsum_90days,n_conflicts_Violence_against_civilians_anomaly_30days_lagged14days,n_fatalities_Violence_against_civilians_anomaly_30days_lagged14days,n_conflicts_Violence_against_civilians_rolsum_90days,n_fatalities_Violence_against_civilians_rolsum_90days,n_conflicts_Explosions/Remote_violence_anomaly_30days_lagged14days,n_fatalities_Explosions/Remote_violence_anomaly_30days_lagged14days,n_conflicts_Explosions/Remote_violence_rolsum_90days,n_fatalities_Explosions/Remote_violence_rolsum_90days,food_inflation,food_inflation_cubic_intp,headline_inflation,headline_inflation_cubic_intp,currency_exchange,currency_exchange_cubic_intp,Ramadan,Ramadan_past90days,day_num,day_of_week,Area,Lat,Lon,Waterways,population,Easting,Northing,Longitude,Latitude,MPI,MPI_incidence,MPI_intensity,Muslim,Christian
65698,Abia,2022-10-05,0.1774571579514814,0.1247879212309664,SURVEY 90 days,,-0.7901256042098431,,-0.11947076725818313,,96.71551237087483,,,,0.7656049165144317,,0.7979788497712553,,0.9889933477466488,-1.0,-3.0,5.0,3.0,-4.0,-42.0,6.0,42.0,0.0,0.0,0.0,0.0,,23.5475946913299,,20.95135355733143,431.87,431.87,0.0,0.0,1,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-10-12,0.1949747555932176,0.1272468828257623,SURVEY 90 days,,-0.701138053238353,,-0.01653556435898157,,127.57490151547209,,,,0.8380588982913002,,0.7925959042582893,,0.9890120215123374,-1.0,-3.0,5.0,3.0,-3.0,-42.0,6.0,42.0,0.0,0.0,0.0,0.0,,23.663908612780887,,21.044981593377738,434.27,434.27,0.0,0.0,2,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-10-19,0.201687264828878,0.1252821700391436,SURVEY 90 days,,-0.6129147135173627,,0.08749849948543073,,92.884918956897,,,,0.7788204900867346,,0.7836658907631803,,0.9884443799514608,-2.0,-3.0,6.0,4.0,-2.0,-42.0,6.0,42.0,0.0,0.0,0.0,0.0,,23.799551027797,,21.154073390465538,435.98,435.98,0.0,0.0,3,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-10-26,0.2041783993836959,0.128280123128241,SURVEY 90 days,,-0.5263843340049856,,0.19232874176880757,,45.07327000705723,,,,0.7827215378473803,,0.7727781351822358,,0.9878706673976175,-1.0,-3.0,6.0,4.0,-3.0,-42.0,5.0,42.0,0.0,0.0,0.0,0.0,,23.939342123609723,,21.268848194840242,436.55,436.55,0.0,0.0,4,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-11-02,0.2142278856365701,0.1202349393063336,SURVEY 90 days,,-0.4424756636593373,,0.2976524799849027,,19.976070479334627,,,,0.8155103429321295,,0.7596211346773273,,0.9876502917965917,1.0,1.0,5.0,4.0,-1.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0,,24.057444258345484,,21.371676218616294,438.37,438.37,0.0,0.0,5,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-11-09,0.215440263096912,0.1122408960423817,SURVEY 90 days,,-0.36211745143853197,,0.4031670316274707,,18.41968223872954,,,,0.7698250058872554,,0.743307667457431,,0.9879619695017955,-1.0,1.0,7.0,7.0,-1.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,,24.127697187680234,,21.44469009103646,439.79,439.79,0.0,0.0,6,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-11-16,0.2220958315111114,0.1157284991872504,SURVEY 90 days,,-0.2862384463006847,,0.5085697141902649,,13.839507182717577,,,,0.7550365963185727,,0.7248129025259655,,0.9890250379920038,-1.0,1.0,6.0,4.0,0.0,0.0,5.0,43.0,0.0,0.0,0.0,0.0,,24.123977730009255,,21.47004698696307,441.19,441.19,0.0,0.0,7,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-11-23,0.222319007580604,0.1153644683984193,SURVEY 90 days,,-0.21576739720390972,,0.6135578451670394,,7.930597689840579,,,,0.788365205509863,,0.7046988112160391,,0.9910031064165343,3.0,4.0,6.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,,24.038990565158848,,21.442373255989125,442.8,442.8,0.0,0.0,8,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-11-30,0.2283948603987647,0.1192312820615585,SURVEY 90 days,,-0.15163305310632189,,0.7178287420515481,,9.182511940306753,,,,0.8374564798896285,,0.6834621538303265,,0.9940448736115292,1.0,2.0,6.0,4.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,,23.914844977852017,,21.389014558565965,443.44,443.44,0.0,0.0,9,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
65698,Abia,2022-12-07,0.2352780683096866,0.1142223946811301,SURVEY 90 days,,-0.09476416296603585,,0.8210797223375454,,7.227227582152511,,,,0.900360504007244,,0.662080128128868,,0.998290598710163,2.0,2.0,5.0,4.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,,23.80165580019186,,21.342618408967404,444.31,444.31,0.0,0.0,10,Wed,0.3965429048009287,5.4533021189195825,7.523189981967188,0.8976169407211194,3802539,1459763.7933569262,-4916261.168813426,7.523189981967188,5.453302118919583,0.101,29.8,33.9,0.1,91.3
