region,Easting,Northing,Longitude,Latitude
Bamako,-250560.70907924953,-4126109.078398596,-7.980041294199702,12.609212547637313
Kayes,-491921.74948633416,-3977911.3596952967,-10.229539887636488,13.876871631485091
Koulikoro,-211397.3426455774,-4014288.8697668263,-7.644289116366853,13.62326467047506
Mopti,232689.9106226163,-3902759.9381491314,-3.55388494879152,14.690778789008636
Segou,-199.9524630868109,-3997364.605932967,-5.700589968316099,13.812658488252833
Sikasso,-96455.42386610259,-4260246.486439404,-6.5467238792565645,11.428011844884656
Tombouctou-Taoudeni,233038.93077838563,-3308399.1127357045,-3.5965640525756286,20.06128074033313
